host_is_superhost,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable
f,Mid-City,Entire rental unit,Entire home/apt,4,1 bath,1.0,2.0,82.0,30,60,0,5,35,125,137,4.9,4.89,4.85,4.95,4.97,4.6,4.9,f
f,West Riverside,Entire rental unit,Entire home/apt,4,1 bath,2.0,3.0,259.0,2,90,10,28,52,304,29,4.83,4.86,4.83,5.0,4.93,4.86,4.66,f
f,Audubon,Entire rental unit,Entire home/apt,4,1 bath,2.0,2.0,236.0,3,90,0,14,24,245,25,4.83,4.82,4.87,5.0,4.91,4.82,4.82,f
f,Treme - Lafitte,Entire residential home,Entire home/apt,10,2 baths,5.0,1.0,278.0,30,60,29,59,89,364,50,4.67,4.63,4.82,4.94,4.86,4.27,4.29,f
t,Lower Garden District,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,102.0,3,120,3,11,11,11,153,4.97,4.98,5.0,4.99,4.97,4.81,4.9,f
t,Audubon,Entire residential home,Entire home/apt,4,1.5 baths,2.0,3.0,178.0,1,14,20,30,49,147,61,4.93,4.8,4.82,4.92,4.95,4.97,4.83,f
t,Central City,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,120.0,2,1125,0,0,0,0,404,4.91,4.95,4.9,4.96,4.93,4.76,4.86,t
t,Seventh Ward,Entire guesthouse,Entire home/apt,4,1 bath,1.0,2.0,105.0,3,30,0,0,0,0,183,4.92,4.9,4.98,4.98,4.98,4.6,4.85,f
f,Uptown,Entire residential home,Entire home/apt,8,2.5 baths,3.0,3.0,1000.0,30,1125,0,0,0,0,0,4.86,4.91,4.88,4.96,4.95,4.87,4.83,f
t,Freret,Entire rental unit,Entire home/apt,4,1 bath,2.0,2.0,113.0,30,1125,3,24,24,140,15,5.0,4.87,4.87,5.0,4.93,5.0,4.73,f
f,Uptown,Entire residential home,Entire home/apt,4,1 bath,2.0,2.0,250.0,2,30,22,46,72,148,18,4.94,4.61,4.72,4.89,4.83,4.89,4.5,f
f,French Quarter,Entire rental unit,Entire home/apt,4,1 bath,1.0,2.0,199.0,30,30,30,60,90,365,17,4.73,4.93,4.4,4.86,4.93,5.0,4.29,t
f,Central City,Entire rental unit,Entire home/apt,4,1 bath,2.0,2.0,162.0,2,365,14,25,53,62,300,4.85,4.87,4.88,4.86,4.86,4.91,4.81,f
t,Audubon,Private room in residential home,Private room,2,1.5 shared baths,1.0,1.0,75.0,1,1125,20,50,80,342,219,4.93,4.95,4.91,4.97,4.99,4.9,4.9,t
t,St. Thomas Dev,Entire residential home,Entire home/apt,10,2.5 baths,3.0,4.0,406.0,2,14,9,39,54,125,66,4.76,4.73,4.64,4.91,4.92,4.61,4.61,t
t,Lower Garden District,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,75.0,180,1125,29,59,89,364,8,4.83,4.83,4.83,5.0,5.0,5.0,4.83,f
t,Treme - Lafitte,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,174.0,3,30,25,55,85,175,301,4.95,4.96,4.94,4.98,4.92,4.78,4.91,f
t,Lower Garden District,Private room in residential home,Private room,2,1 private bath,1.0,1.0,84.0,2,5,0,0,0,0,51,4.98,5.0,4.96,4.96,4.98,5.0,4.88,f
t,St. Claude,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,91.0,30,30,24,54,84,139,231,4.79,4.81,4.61,4.92,4.92,4.54,4.75,f
t,Broadmoor,Entire townhouse,Entire home/apt,6,2 baths,3.0,5.0,289.0,30,1125,9,15,36,114,48,4.88,4.96,4.96,5.0,5.0,4.87,4.91,f
t,Bayou St. John,Entire residential home,Entire home/apt,8,2 baths,3.0,3.0,329.0,2,30,12,23,51,293,76,4.88,4.88,4.76,4.96,4.99,4.95,4.73,f
t,Garden District,Private room in rental unit,Private room,2,1 private bath,1.0,1.0,101.0,1,30,15,30,55,315,484,4.85,4.86,4.41,4.98,4.97,4.97,4.82,t
t,Garden District,Private room in rental unit,Private room,2,1 private bath,1.0,1.0,113.0,1,1125,12,33,60,312,418,4.93,4.94,4.58,4.98,4.99,4.98,4.88,t
t,Garden District,Private room in rental unit,Private room,2,1 private bath,1.0,1.0,120.0,1,1125,2,10,21,238,612,4.89,4.93,4.53,4.97,4.98,4.99,4.87,t
t,Lower Garden District,Entire residential home,Entire home/apt,6,2.5 baths,3.0,3.0,224.0,3,30,10,15,35,243,149,4.88,4.85,4.89,4.94,4.92,4.93,4.81,t
t,Marigny,Entire rental unit,Entire home/apt,6,2 baths,3.0,3.0,251.0,2,1125,9,39,48,247,162,4.9,4.88,4.9,4.95,4.9,4.94,4.89,t
t,Fairgrounds,Entire residential home,Entire home/apt,12,4 baths,5.0,8.0,597.0,3,30,23,39,69,312,159,4.67,4.73,4.82,4.86,4.9,4.77,4.64,t
f,Audubon,Private room in residential home,Private room,2,1 private bath,1.0,1.0,114.0,30,30,0,0,0,0,6,5.0,5.0,5.0,5.0,5.0,5.0,4.67,t
t,Lower Garden District,Room in bed and breakfast,Hotel room,2,1 private bath,1.0,1.0,135.0,2,360,1,12,28,28,180,4.84,4.79,4.87,4.89,4.87,4.82,4.87,f
t,Lower Garden District,Private room in bed and breakfast,Private room,2,1 shared bath,1.0,1.0,120.0,2,360,6,18,34,34,203,4.77,4.81,4.8,4.92,4.88,4.79,4.79,f
t,Lower Garden District,Room in bed and breakfast,Hotel room,2,1 shared bath,1.0,1.0,120.0,2,360,7,19,35,35,143,4.73,4.8,4.73,4.87,4.82,4.73,4.74,f
t,Lower Garden District,Room in bed and breakfast,Hotel room,2,1 shared bath,1.0,1.0,135.0,2,360,6,18,34,34,157,4.83,4.84,4.83,4.9,4.87,4.81,4.82,f
t,Lower Garden District,Entire bungalow,Entire home/apt,2,1 bath,1.0,1.0,106.0,1,1125,6,13,21,211,513,4.95,4.96,4.93,4.98,4.98,4.81,4.88,t
